variant,suite,workload,parameter,seguru,cuda,ratio,units
nobc,polybench,atax,4096^2,496.706270,638.464034,0.777971,us
stock,polybench,atax,4096^2,495.619135,638.464034,0.776268,us
nobc,polybench,atax,8192^2,1072.106167,1360.383987,0.788091,us
stock,polybench,atax,8192^2,1071.542667,1360.383987,0.787677,us
nobc,polybench,bicg,2048^2,224.876154,118.804611,1.892823,us
stock,polybench,bicg,2048^2,225.226235,118.804611,1.895770,us
nobc,polybench,bicg,4096^2,495.836824,637.993515,0.777182,us
stock,polybench,bicg,4096^2,495.680459,637.993515,0.776937,us
nobc,polybench,bicg,8192^2,1070.299444,1360.270143,0.786829,us
stock,polybench,bicg,8192^2,1072.600167,1360.270143,0.788520,us
nobc,polybench,conv2d,2048^2,27.527279,26.256323,1.048406,us
stock,polybench,conv2d,2048^2,27.735393,26.256323,1.056332,us
nobc,polybench,conv2d,4096^2,99.904392,96.380547,1.036562,us
stock,polybench,conv2d,4096^2,100.131041,96.380547,1.038913,us
nobc,polybench,conv2d,8192^2,386.923833,375.352889,1.030827,us
stock,polybench,conv2d,8192^2,387.981444,375.352889,1.033644,us
nobc,polybench,conv3d,128^3,21.099663,21.435732,0.984322,us
stock,polybench,conv3d,128^3,22.724960,21.435732,1.060144,us
nobc,polybench,conv3d,256^3,153.604149,154.900759,0.991629,us
stock,polybench,conv3d,256^3,162.620635,154.900759,1.049838,us
nobc,polybench,conv3d,384^3,507.883955,514.327288,0.987472,us
stock,polybench,conv3d,384^3,539.118455,514.327288,1.048201,us
nobc,polybench,fdtd2d,1024^2xt10,215.622359,192.013130,1.122956,us
stock,polybench,fdtd2d,1024^2xt10,273.671513,192.013130,1.425275,us
nobc,polybench,fdtd2d,2048^2xt10,1228.729600,1220.710397,1.006569,us
stock,polybench,fdtd2d,2048^2xt10,1236.126500,1220.710397,1.012629,us
nobc,polybench,fdtd2d,4096^2xt10,4644.157700,4602.060795,1.009147,us
stock,polybench,fdtd2d,4096^2xt10,4667.907300,4602.060795,1.014308,us
nobc,polybench,gemm,1024^3,290.931500,277.401596,1.048774,us
stock,polybench,gemm,1024^3,287.077400,277.401596,1.034880,us
nobc,polybench,gemm,2048^3,1785.832600,1754.726410,1.017727,us
stock,polybench,gemm,2048^3,1774.079300,1754.726410,1.011029,us
nobc,polybench,gemm,4096^3,12946.292100,13063.372612,0.991037,us
stock,polybench,gemm,4096^3,12989.929900,13063.372612,0.994378,us
nobc,polybench,gemm,512^3,79.216905,57.440866,1.379104,us
stock,polybench,gemm,512^3,63.189432,57.440866,1.100078,us
nobc,polybench,gesummv,2048^2x2,16.597883,19.655302,0.844448,us
stock,polybench,gesummv,2048^2x2,15.541628,19.655302,0.790709,us
nobc,polybench,gesummv,4096^2x2,86.331743,86.555675,0.997413,us
stock,polybench,gesummv,4096^2x2,84.581486,86.555675,0.977192,us
nobc,polybench,gesummv,8192^2x2,316.680000,315.904021,1.002456,us
stock,polybench,gesummv,8192^2x2,309.164444,315.904021,0.978666,us
nobc,polybench,jacobi1d,1048576xt20,251.691379,242.546752,1.037703,us
stock,polybench,jacobi1d,1048576xt20,262.866655,242.546752,1.083777,us
nobc,polybench,jacobi1d,16777216xt20,3732.702500,3687.116623,1.012364,us
stock,polybench,jacobi1d,16777216xt20,3784.499000,3687.116623,1.026412,us
nobc,polybench,jacobi1d,4194304xt20,941.241500,919.449627,1.023701,us
stock,polybench,jacobi1d,4194304xt20,964.251400,919.449627,1.048727,us
nobc,polybench,jacobi2d,1024^2xt10,142.813271,135.115936,1.056968,us
stock,polybench,jacobi2d,1024^2xt10,153.093729,135.115936,1.133055,us
nobc,polybench,jacobi2d,2048^2xt10,545.697357,535.186291,1.019640,us
stock,polybench,jacobi2d,2048^2xt10,559.014286,535.186291,1.044523,us
nobc,polybench,jacobi2d,4096^2xt10,2082.559800,2035.712004,1.023013,us
stock,polybench,jacobi2d,4096^2xt10,2112.488700,2035.712004,1.037715,us
nobc,polybench,mvt,2048^2,226.281416,119.467802,1.894079,us
stock,polybench,mvt,2048^2,227.012772,119.467802,1.900200,us
nobc,polybench,mvt,4096^2,498.126338,641.217709,0.776844,us
stock,polybench,mvt,4096^2,500.087027,641.217709,0.779902,us
nobc,polybench,mvt,8192^2,1074.516722,1362.261295,0.788774,us
stock,polybench,mvt,8192^2,1076.366056,1362.261295,0.790132,us
nobc,polybench,syr2k,1024^3,703.123300,792.166412,0.887595,us
stock,polybench,syr2k,1024^3,700.194900,792.166412,0.883899,us
nobc,polybench,syr2k,2048^3,4538.688800,5064.806461,0.896123,us
stock,polybench,syr2k,2048^3,4568.998400,5064.806461,0.902107,us
nobc,polybench,syr2k,512^3,132.807541,148.673728,0.893282,us
stock,polybench,syr2k,512^3,133.072378,148.673728,0.895063,us
nobc,polybench,syrk,1024^3,348.305000,339.558423,1.025759,us
stock,polybench,syrk,1024^3,351.351800,339.558423,1.034732,us
nobc,polybench,syrk,2048^3,2187.507900,2148.454428,1.018177,us
stock,polybench,syrk,2048^3,2205.947800,2148.454428,1.026760,us
nobc,polybench,syrk,4096^3,16389.945600,16146.944046,1.015049,us
stock,polybench,syrk,4096^3,16595.449100,16146.944046,1.027776,us
nobc,polybench,syrk,512^3,71.179270,66.850595,1.064751,us
stock,polybench,syrk,512^3,71.325635,66.850595,1.066941,us
nobc,polybench,threemm,1024^3x3,931.770000,870.092750,1.070886,us
stock,polybench,threemm,1024^3x3,903.619000,870.092750,1.038532,us
nobc,polybench,threemm,2048^3x3,5350.715300,5285.478115,1.012343,us
stock,polybench,threemm,2048^3x3,5318.711400,5285.478115,1.006288,us
nobc,polybench,threemm,512^3x3,243.851792,175.146654,1.392272,us
stock,polybench,threemm,512^3x3,195.082875,175.146654,1.113826,us
nobc,polybench,twomm,1024^3x2,605.466900,567.603230,1.066708,us
stock,polybench,twomm,1024^3x2,592.747300,567.603230,1.044299,us
nobc,polybench,twomm,2048^3x2,3567.332200,3526.962996,1.011446,us
stock,polybench,twomm,2048^3x2,3546.610700,3526.962996,1.005571,us
nobc,polybench,twomm,512^3x2,165.164135,116.763681,1.414516,us
stock,polybench,twomm,512^3x2,129.884324,116.763681,1.112369,us
