variant,suite,workload,parameter,seguru,cuda,ratio,units
nobc,aes,aes_decrypt,16MiB,123.991813,123.610459,1.003085,us
stock,aes,aes_decrypt,16MiB,124.385687,123.610459,1.006272,us
nobc,aes,aes_decrypt,1GiB,7266.292500,7248.383999,1.002471,us
stock,aes,aes_decrypt,1GiB,7279.885700,7248.383999,1.004346,us
nobc,aes,aes_decrypt,256MiB,1823.121740,1813.770294,1.005156,us
stock,aes,aes_decrypt,256MiB,1826.889900,1813.770294,1.007233,us
nobc,aes,aes_encrypt,16MiB,140.954057,140.475735,1.003405,us
stock,aes,aes_encrypt,16MiB,141.063840,140.475735,1.004187,us
nobc,aes,aes_encrypt,1GiB,8292.972100,8298.291206,0.999359,us
stock,aes,aes_encrypt,1GiB,8301.110500,8298.291206,1.000340,us
nobc,aes,aes_encrypt,256MiB,2076.025360,2080.481291,0.997858,us
stock,aes,aes_encrypt,256MiB,2077.594520,2080.481291,0.998612,us
nobc,gpusorting,onesweep_digit_binning,1Gi,16.062313,12.705865,1.264165,ms
stock,gpusorting,onesweep_digit_binning,1Gi,17.310800,12.705865,1.362426,ms
nobc,gpusorting,onesweep_digit_binning,4Mi,0.076729,0.064784,1.184382,ms
stock,gpusorting,onesweep_digit_binning,4Mi,0.081020,0.064784,1.250617,ms
nobc,gpusorting,onesweep_digit_binning,64Mi,1.004340,0.809728,1.240342,ms
stock,gpusorting,onesweep_digit_binning,64Mi,1.092890,0.809728,1.349700,ms
nobc,gpusorting,onesweep_digit_binning_safe,1Gi,22.587303,12.641542,1.786752,ms
stock,gpusorting,onesweep_digit_binning_safe,1Gi,23.395822,12.641542,1.850710,ms
nobc,gpusorting,onesweep_digit_binning_safe,4Mi,0.102173,0.064902,1.574266,ms
stock,gpusorting,onesweep_digit_binning_safe,4Mi,0.106089,0.064902,1.634603,ms
nobc,gpusorting,onesweep_digit_binning_safe,64Mi,1.425495,0.805321,1.770095,ms
stock,gpusorting,onesweep_digit_binning_safe,64Mi,1.476887,0.805321,1.833911,ms
nobc,gpusorting,onesweep_global_histogram,1Gi,3.854577,3.921442,0.982949,ms
stock,gpusorting,onesweep_global_histogram,1Gi,3.899092,3.921442,0.994301,ms
nobc,gpusorting,onesweep_global_histogram,4Mi,0.020455,0.023609,0.866407,ms
stock,gpusorting,onesweep_global_histogram,4Mi,0.020618,0.023609,0.873311,ms
nobc,gpusorting,onesweep_global_histogram,64Mi,0.250897,0.259625,0.966382,ms
stock,gpusorting,onesweep_global_histogram,64Mi,0.251906,0.259625,0.970269,ms
nobc,gpusorting,onesweep_scan,1Gi,0.003327,0.003527,0.943295,ms
stock,gpusorting,onesweep_scan,1Gi,0.003333,0.003527,0.944996,ms
nobc,gpusorting,onesweep_scan,4Mi,0.003094,0.003190,0.969906,ms
stock,gpusorting,onesweep_scan,4Mi,0.003108,0.003190,0.974295,ms
nobc,gpusorting,onesweep_scan,64Mi,0.003302,0.003348,0.986260,ms
stock,gpusorting,onesweep_scan,64Mi,0.003299,0.003348,0.985364,ms
nobc,gpusorting,radix_downsweep,1Gi,13.419388,11.079170,1.211227,ms
stock,gpusorting,radix_downsweep,1Gi,14.532258,11.079170,1.311674,ms
nobc,gpusorting,radix_downsweep,4Mi,0.060188,0.050479,1.192337,ms
stock,gpusorting,radix_downsweep,4Mi,0.064245,0.050479,1.272707,ms
nobc,gpusorting,radix_downsweep,64Mi,0.837193,0.681651,1.228184,ms
stock,gpusorting,radix_downsweep,64Mi,0.899142,0.681651,1.319065,ms
nobc,gpusorting,radix_scan,1Gi,1.974057,2.072293,0.952596,ms
stock,gpusorting,radix_scan,1Gi,2.003068,2.072293,0.966595,ms
nobc,gpusorting,radix_scan,4Mi,0.007803,0.008670,0.900000,ms
stock,gpusorting,radix_scan,4Mi,0.007834,0.008670,0.903576,ms
nobc,gpusorting,radix_scan,64Mi,0.083676,0.090172,0.927960,ms
stock,gpusorting,radix_scan,64Mi,0.085331,0.090172,0.946314,ms
nobc,gpusorting,radix_sort_onesweep,1Gi,65.944886,53.120049,1.241431,ms
stock,gpusorting,radix_sort_onesweep,1Gi,69.393841,53.120049,1.306359,ms
nobc,gpusorting,radix_sort_onesweep,4Mi,0.301372,0.258785,1.164565,ms
stock,gpusorting,radix_sort_onesweep,4Mi,0.316909,0.258785,1.224603,ms
nobc,gpusorting,radix_sort_onesweep,64Mi,4.220962,3.394304,1.243543,ms
stock,gpusorting,radix_sort_onesweep,64Mi,4.458839,3.394304,1.313624,ms
nobc,gpusorting,radix_sort_onesweep_safe,1Gi,90.716629,52.942749,1.713485,ms
stock,gpusorting,radix_sort_onesweep_safe,1Gi,93.432618,52.942749,1.764786,ms
nobc,gpusorting,radix_sort_onesweep_safe,4Mi,0.390108,0.254669,1.531824,ms
stock,gpusorting,radix_sort_onesweep_safe,4Mi,0.401823,0.254669,1.577825,ms
nobc,gpusorting,radix_sort_onesweep_safe,64Mi,5.788193,3.396454,1.704187,ms
stock,gpusorting,radix_sort_onesweep_safe,64Mi,5.963048,3.396454,1.755669,ms
nobc,gpusorting,radix_sort_reduce_then_scan,1Gi,76.590792,68.384628,1.120000,ms
stock,gpusorting,radix_sort_reduce_then_scan,1Gi,80.461395,68.384628,1.176601,ms
nobc,gpusorting,radix_sort_reduce_then_scan,4Mi,0.397112,0.323768,1.226533,ms
stock,gpusorting,radix_sort_reduce_then_scan,4Mi,0.403167,0.323768,1.245234,ms
nobc,gpusorting,radix_sort_reduce_then_scan,64Mi,4.919654,4.349030,1.131207,ms
stock,gpusorting,radix_sort_reduce_then_scan,64Mi,5.129198,4.349030,1.179389,ms
nobc,gpusorting,radix_upsweep,1Gi,3.865729,4.708168,0.821069,ms
stock,gpusorting,radix_upsweep,1Gi,3.870935,4.708168,0.822174,ms
nobc,gpusorting,radix_upsweep,4Mi,0.019634,0.028697,0.684183,ms
stock,gpusorting,radix_upsweep,4Mi,0.018576,0.028697,0.647315,ms
nobc,gpusorting,radix_upsweep,64Mi,0.243374,0.312724,0.778239,ms
stock,gpusorting,radix_upsweep,64Mi,0.244892,0.312724,0.783093,ms
nobc,heongpu,cipher_plain_mul,coeffs=1048576,9.101900,8.970240,1.014677,us
stock,heongpu,cipher_plain_mul,coeffs=1048576,11.000440,8.970240,1.226326,us
nobc,heongpu,cipher_plain_mul,coeffs=10485760,110.827260,108.175367,1.024515,us
stock,heongpu,cipher_plain_mul,coeffs=10485760,111.771060,108.175367,1.033239,us
nobc,heongpu,cipher_plain_mul,coeffs=104857600,1055.312080,1030.737877,1.023841,us
stock,heongpu,cipher_plain_mul,coeffs=104857600,1065.301280,1030.737877,1.033533,us
nobc,heongpu,ntt_forward,coeffs=1048576,98.895720,97.976319,1.009384,us
stock,heongpu,ntt_forward,coeffs=1048576,99.882360,97.976319,1.019454,us
nobc,heongpu,ntt_forward,coeffs=10485760,770.725900,736.870408,1.045945,us
stock,heongpu,ntt_forward,coeffs=10485760,794.040340,736.870408,1.077585,us
nobc,heongpu,ntt_forward,coeffs=104857600,7253.741980,6893.588066,1.052245,us
stock,heongpu,ntt_forward,coeffs=104857600,7412.128220,6893.588066,1.075221,us
nobc,heongpu,ntt_inverse,coeffs=1048576,91.359720,88.207357,1.035738,us
stock,heongpu,ntt_inverse,coeffs=1048576,90.431800,88.207357,1.025218,us
nobc,heongpu,ntt_inverse,coeffs=10485760,740.945400,695.521295,1.065309,us
stock,heongpu,ntt_inverse,coeffs=10485760,727.303780,695.521295,1.045696,us
nobc,heongpu,ntt_inverse,coeffs=104857600,7077.314440,6643.322945,1.065327,us
stock,heongpu,ntt_inverse,coeffs=104857600,6986.182300,6643.322945,1.051610,us
nobc,heongpu,poly_add,coeffs=1048576,8.600780,8.314881,1.034384,us
stock,heongpu,poly_add,coeffs=1048576,8.656680,8.314881,1.041107,us
nobc,heongpu,poly_add,coeffs=10485760,153.301780,151.224315,1.013738,us
stock,heongpu,poly_add,coeffs=10485760,153.625400,151.224315,1.015878,us
nobc,heongpu,poly_add,coeffs=104857600,1478.345100,1471.979499,1.004325,us
stock,heongpu,poly_add,coeffs=104857600,1479.771460,1471.979499,1.005294,us
nobc,heongpu,poly_mul,coeffs=1048576,9.913400,9.584640,1.034301,us
stock,heongpu,poly_mul,coeffs=1048576,11.634420,9.584640,1.213861,us
nobc,heongpu,poly_mul,coeffs=10485760,156.571440,153.190404,1.022071,us
stock,heongpu,poly_mul,coeffs=10485760,156.947980,153.190404,1.024529,us
nobc,heongpu,poly_mul,coeffs=104857600,1508.611900,1474.601030,1.023064,us
stock,heongpu,poly_mul,coeffs=104857600,1510.438040,1474.601030,1.024303,us
nobc,kernelbench,argmax_dim,2048x2048,10.276645,9.733120,1.055843,us
stock,kernelbench,argmax_dim,2048x2048,11.299140,9.733120,1.160896,us
nobc,kernelbench,argmax_dim,32768x32768,4952.472950,5152.312622,0.961214,us
stock,kernelbench,argmax_dim,32768x32768,4959.359050,5152.312622,0.962550,us
nobc,kernelbench,argmax_dim,8192x8192,212.928890,230.410233,0.924129,us
stock,kernelbench,argmax_dim,8192x8192,213.166105,230.410233,0.925159,us
nobc,kernelbench,cumsum,2048x2048,21.709835,31.293440,0.693750,us
stock,kernelbench,cumsum,2048x2048,22.031425,31.293440,0.704027,us
nobc,kernelbench,cumsum,32768x32768,5349.972395,6452.265015,0.829162,us
stock,kernelbench,cumsum,32768x32768,5351.570535,6452.265015,0.829410,us
nobc,kernelbench,cumsum,8192x8192,333.685695,410.572815,0.812732,us
stock,kernelbench,cumsum,8192x8192,333.848645,410.572815,0.813129,us
nobc,kernelbench,gelu,2048x2048,22.203305,25.410559,0.873783,us
stock,kernelbench,gelu,2048x2048,21.978030,25.410559,0.864917,us
nobc,kernelbench,gelu,32768x32768,5212.044455,5963.555908,0.873983,us
stock,kernelbench,gelu,32768x32768,5217.617395,5963.555908,0.874917,us
nobc,kernelbench,gelu,8192x8192,330.541505,375.521278,0.880220,us
stock,kernelbench,gelu,8192x8192,330.793280,375.521278,0.880891,us
nobc,kernelbench,l1_norm,2048x2048,19.718035,20.971520,0.940229,us
stock,kernelbench,l1_norm,2048x2048,19.910285,20.971520,0.949396,us
nobc,kernelbench,l1_norm,32768x32768,7742.348960,8535.485229,0.907078,us
stock,kernelbench,l1_norm,32768x32768,7736.428265,8535.485229,0.906384,us
nobc,kernelbench,l1_norm,8192x8192,460.663250,470.405121,0.979290,us
stock,kernelbench,l1_norm,8192x8192,448.632540,470.405121,0.953715,us
nobc,kernelbench,l2_norm,2048x2048,19.806595,20.894721,0.947923,us
stock,kernelbench,l2_norm,2048x2048,20.002360,20.894721,0.957293,us
nobc,kernelbench,l2_norm,32768x32768,7742.644035,8533.514404,0.907322,us
stock,kernelbench,l2_norm,32768x32768,7736.460275,8533.514404,0.906597,us
nobc,kernelbench,l2_norm,8192x8192,460.620375,470.195198,0.979636,us
stock,kernelbench,l2_norm,8192x8192,448.885260,470.195198,0.954679,us
nobc,kernelbench,layer_norm,2048x2048,23.773515,24.519680,0.969569,us
stock,kernelbench,layer_norm,2048x2048,23.223945,24.519680,0.947155,us
nobc,kernelbench,layer_norm,32768x32768,10599.986105,11233.489990,0.943606,us
stock,kernelbench,layer_norm,32768x32768,10439.563845,11233.489990,0.929325,us
nobc,kernelbench,layer_norm,8192x8192,503.396195,495.861778,1.015195,us
stock,kernelbench,layer_norm,8192x8192,569.295500,495.861778,1.148093,us
nobc,kernelbench,leaky_relu,2048x2048,21.121345,22.993920,0.918562,us
stock,kernelbench,leaky_relu,2048x2048,21.229290,22.993920,0.923257,us
nobc,kernelbench,leaky_relu,32768x32768,5222.137645,5534.935303,0.943487,us
stock,kernelbench,leaky_relu,32768x32768,5222.121715,5534.935303,0.943484,us
nobc,kernelbench,leaky_relu,8192x8192,330.557030,349.721603,0.945200,us
stock,kernelbench,leaky_relu,8192x8192,330.440720,349.721603,0.944868,us
nobc,kernelbench,log_softmax,2048x2048,21.954840,22.082560,0.994216,us
stock,kernelbench,log_softmax,2048x2048,22.399565,22.082560,1.014355,us
nobc,kernelbench,log_softmax,32768x32768,7839.987845,11192.545166,0.700465,us
stock,kernelbench,log_softmax,32768x32768,7857.989840,11192.545166,0.702074,us
nobc,kernelbench,log_softmax,8192x8192,479.955495,488.453102,0.982603,us
stock,kernelbench,log_softmax,8192x8192,481.937810,488.453102,0.986661,us
nobc,kernelbench,max_dim,2048x2048,7.364180,7.157760,1.028839,us
stock,kernelbench,max_dim,2048x2048,7.435515,7.157760,1.038805,us
nobc,kernelbench,max_dim,32768x32768,2375.525740,2567.695312,0.925159,us
stock,kernelbench,max_dim,32768x32768,2377.566120,2567.695312,0.925953,us
nobc,kernelbench,max_dim,8192x8192,154.349510,163.891201,0.941780,us
stock,kernelbench,max_dim,8192x8192,154.403740,163.891201,0.942111,us
nobc,kernelbench,max_pool1d,2048x2048/k=4/s=4,8.389185,7.511040,1.116914,us
stock,kernelbench,max_pool1d,2048x2048/k=4/s=4,8.444985,7.511040,1.124343,us
nobc,kernelbench,max_pool1d,32768x32768/k=4/s=4,3238.241130,3281.904602,0.986696,us
stock,kernelbench,max_pool1d,32768x32768/k=4/s=4,3273.697675,3281.904602,0.997499,us
nobc,kernelbench,max_pool1d,8192x8192/k=4/s=4,208.295685,209.920006,0.992262,us
stock,kernelbench,max_pool1d,8192x8192/k=4/s=4,210.226895,209.920006,1.001462,us
nobc,kernelbench,mean_dim,2048x2048,7.387070,7.265280,1.016763,us
stock,kernelbench,mean_dim,2048x2048,7.380560,7.265280,1.015867,us
nobc,kernelbench,mean_dim,32768x32768,2373.612535,2567.516174,0.924478,us
stock,kernelbench,mean_dim,32768x32768,2375.789975,2567.516174,0.925326,us
nobc,kernelbench,mean_dim,8192x8192,154.240810,163.788795,0.941706,us
stock,kernelbench,mean_dim,8192x8192,154.347535,163.788795,0.942357,us
nobc,kernelbench,mse_loss,2048x2048,18.178025,23.403521,0.776722,us
stock,kernelbench,mse_loss,2048x2048,18.775980,23.403521,0.802272,us
nobc,kernelbench,mse_loss,32768x32768,4766.513705,5329.187622,0.894417,us
stock,kernelbench,mse_loss,32768x32768,4780.291635,5329.187622,0.897002,us
nobc,kernelbench,mse_loss,8192x8192,306.766530,338.908157,0.905161,us
stock,kernelbench,mse_loss,8192x8192,307.359490,338.908157,0.906911,us
nobc,kernelbench,relu,2048x2048,20.858405,22.937601,0.909354,us
stock,kernelbench,relu,2048x2048,20.990845,22.937601,0.915128,us
nobc,kernelbench,relu,32768x32768,5222.931945,5526.271973,0.945109,us
stock,kernelbench,relu,32768x32768,5223.645320,5526.271973,0.945239,us
nobc,kernelbench,relu,8192x8192,330.455795,348.042221,0.949470,us
stock,kernelbench,relu,8192x8192,330.446430,348.042221,0.949444,us
nobc,kernelbench,rms_norm,2048x2048,19.951165,20.915201,0.953907,us
stock,kernelbench,rms_norm,2048x2048,19.979615,20.915201,0.955268,us
nobc,kernelbench,rms_norm,32768x32768,7743.877750,8533.053589,0.907515,us
stock,kernelbench,rms_norm,32768x32768,7735.762300,8533.053589,0.906564,us
nobc,kernelbench,rms_norm,8192x8192,459.986340,471.603203,0.975367,us
stock,kernelbench,rms_norm,8192x8192,448.475745,471.603203,0.950960,us
nobc,kernelbench,sigmoid,2048x2048,21.188065,24.704001,0.857677,us
stock,kernelbench,sigmoid,2048x2048,21.462425,24.704001,0.868783,us
nobc,kernelbench,sigmoid,32768x32768,5225.639250,5797.196655,0.901408,us
stock,kernelbench,sigmoid,32768x32768,5225.921110,5797.196655,0.901457,us
nobc,kernelbench,sigmoid,8192x8192,330.446080,366.873589,0.900708,us
stock,kernelbench,sigmoid,8192x8192,330.324005,366.873589,0.900376,us
nobc,kernelbench,softmax,2048x2048,22.509670,25.415680,0.885661,us
stock,kernelbench,softmax,2048x2048,22.928995,25.415680,0.902159,us
nobc,kernelbench,softmax,32768x32768,7857.445360,11214.909668,0.700625,us
stock,kernelbench,softmax,32768x32768,7874.357415,11214.909668,0.702133,us
nobc,kernelbench,softmax,8192x8192,482.501675,493.301773,0.978107,us
stock,kernelbench,softmax,8192x8192,483.974040,493.301773,0.981091,us
nobc,kernelbench,softplus,2048x2048,21.156355,27.166719,0.778760,us
stock,kernelbench,softplus,2048x2048,21.372755,27.166719,0.786726,us
nobc,kernelbench,softplus,32768x32768,5223.718185,6402.539673,0.815882,us
stock,kernelbench,softplus,32768x32768,5226.210310,6402.539673,0.816271,us
nobc,kernelbench,softplus,8192x8192,330.722390,404.095993,0.818425,us
stock,kernelbench,softplus,8192x8192,330.785910,404.095993,0.818583,us
nobc,kernelbench,sum_dim,2048x2048,7.386070,7.142400,1.034116,us
stock,kernelbench,sum_dim,2048x2048,7.400350,7.142400,1.036115,us
nobc,kernelbench,sum_dim,32768x32768,2374.010525,2567.290955,0.924714,us
stock,kernelbench,sum_dim,32768x32768,2375.807205,2567.290955,0.925414,us
nobc,kernelbench,sum_dim,8192x8192,154.082265,163.911686,0.940032,us
stock,kernelbench,sum_dim,8192x8192,154.232275,163.911686,0.940947,us
nobc,kernelbench,swish,2048x2048,21.175390,24.545281,0.862707,us
stock,kernelbench,swish,2048x2048,21.523385,24.545281,0.876885,us
nobc,kernelbench,swish,32768x32768,5225.016265,5794.841309,0.901667,us
stock,kernelbench,swish,32768x32768,5225.497385,5794.841309,0.901750,us
nobc,kernelbench,swish,8192x8192,330.412610,365.532150,0.903922,us
stock,kernelbench,swish,8192x8192,330.735265,365.532150,0.904805,us
nobc,kernelbench,tanh,2048x2048,21.517325,23.480320,0.916398,us
stock,kernelbench,tanh,2048x2048,21.494330,23.480320,0.915419,us
nobc,kernelbench,tanh,32768x32768,5216.127355,5620.797729,0.928005,us
stock,kernelbench,tanh,32768x32768,5217.873675,5620.797729,0.928316,us
nobc,kernelbench,tanh,8192x8192,330.470220,355.276794,0.930177,us
stock,kernelbench,tanh,8192x8192,330.588095,355.276794,0.930509,us
nobc,polybench,atax,2048^2,224.958151,126.628935,1.776515,us
stock,polybench,atax,2048^2,225.060322,126.628935,1.777321,us
