variant,suite,workload,parameter,implementation,metric,value,units
stock,aes,aes_encrypt,16MiB,seguru,time,141.063840,us
stock,aes,aes_encrypt,16MiB,seguru,throughput,118.933498,GB/s
stock,aes,aes_encrypt,16MiB,cuda,time,140.475735,us
stock,aes,aes_encrypt_classic,16MiB,cuda,time,5496.200562,us
stock,aes,aes_encrypt,256MiB,seguru,time,2077.594520,us
stock,aes,aes_encrypt,256MiB,seguru,throughput,129.204931,GB/s
stock,aes,aes_encrypt,256MiB,cuda,time,2080.481291,us
stock,aes,aes_encrypt_classic,256MiB,cuda,time,89500.976562,us
stock,aes,aes_encrypt,1GiB,seguru,time,8301.110500,us
stock,aes,aes_encrypt,1GiB,seguru,throughput,129.349179,GB/s
stock,aes,aes_encrypt,1GiB,cuda,time,8298.291206,us
stock,aes,aes_encrypt_classic,1GiB,cuda,time,363252.929688,us
stock,aes,aes_decrypt,16MiB,seguru,time,124.385687,us
stock,aes,aes_decrypt,16MiB,seguru,throughput,134.880600,GB/s
stock,aes,aes_decrypt,16MiB,cuda,time,123.610459,us
stock,aes,aes_decrypt,256MiB,seguru,time,1826.889900,us
stock,aes,aes_decrypt,256MiB,seguru,throughput,146.935760,GB/s
stock,aes,aes_decrypt,256MiB,cuda,time,1813.770294,us
stock,aes,aes_decrypt,1GiB,seguru,time,7279.885700,us
stock,aes,aes_decrypt,1GiB,seguru,throughput,147.494325,GB/s
stock,aes,aes_decrypt,1GiB,cuda,time,7248.383999,us
nobc,aes,aes_encrypt,16MiB,seguru,time,140.954057,us
nobc,aes,aes_encrypt,16MiB,seguru,throughput,119.026131,GB/s
nobc,aes,aes_encrypt,16MiB,cuda,time,140.445009,us
nobc,aes,aes_encrypt_classic,16MiB,cuda,time,5490.206718,us
nobc,aes,aes_encrypt,256MiB,seguru,time,2076.025360,us
nobc,aes,aes_encrypt,256MiB,seguru,throughput,129.302590,GB/s
nobc,aes,aes_encrypt,256MiB,cuda,time,2073.722839,us
nobc,aes,aes_encrypt_classic,256MiB,cuda,time,89316.986084,us
nobc,aes,aes_encrypt,1GiB,seguru,time,8292.972100,us
nobc,aes,aes_encrypt,1GiB,seguru,throughput,129.476117,GB/s
nobc,aes,aes_encrypt,1GiB,cuda,time,8290.048599,us
nobc,aes,aes_encrypt_classic,1GiB,cuda,time,362747.344971,us
nobc,aes,aes_decrypt,16MiB,seguru,time,123.991813,us
