variant,suite,workload,parameter,implementation,metric,value,units
nobc,aes,aes_decrypt,16MiB,seguru,throughput,135.309062,GB/s
nobc,aes,aes_decrypt,16MiB,cuda,time,123.576313,us
nobc,aes,aes_decrypt,256MiB,seguru,time,1823.121740,us
nobc,aes,aes_decrypt,256MiB,seguru,throughput,147.239458,GB/s
nobc,aes,aes_decrypt,256MiB,cuda,time,1813.258171,us
nobc,aes,aes_decrypt,1GiB,seguru,time,7266.292500,us
nobc,aes,aes_decrypt,1GiB,seguru,throughput,147.770245,GB/s
nobc,aes,aes_decrypt,1GiB,cuda,time,7240.704536,us
stock,heongpu,ntt_forward,coeffs=1048576,seguru,time,99.882360,us
stock,heongpu,ntt_forward,coeffs=1048576,cuda,time,97.976319,us
stock,heongpu,ntt_forward,coeffs=1048576,seguru,throughput,10498.109977,Mcoeff/s
stock,heongpu,ntt_forward,coeffs=1048576,cpu,time,1087.671000,us
stock,heongpu,ntt_inverse,coeffs=1048576,seguru,time,90.431800,us
stock,heongpu,ntt_inverse,coeffs=1048576,cuda,time,88.207357,us
stock,heongpu,ntt_forward,coeffs=10485760,seguru,time,794.040340,us
stock,heongpu,ntt_forward,coeffs=10485760,cuda,time,736.870408,us
stock,heongpu,ntt_forward,coeffs=10485760,seguru,throughput,13205.575928,Mcoeff/s
stock,heongpu,ntt_forward,coeffs=10485760,cpu,time,1084.665000,us
stock,heongpu,ntt_inverse,coeffs=10485760,seguru,time,727.303780,us
stock,heongpu,ntt_inverse,coeffs=10485760,cuda,time,695.521295,us
stock,heongpu,ntt_forward,coeffs=104857600,seguru,time,7412.128220,us
stock,heongpu,ntt_forward,coeffs=104857600,cuda,time,6893.588066,us
stock,heongpu,ntt_forward,coeffs=104857600,seguru,throughput,14146.760133,Mcoeff/s
stock,heongpu,ntt_forward,coeffs=104857600,cpu,time,1225.847000,us
stock,heongpu,ntt_inverse,coeffs=104857600,seguru,time,6986.182300,us
stock,heongpu,ntt_inverse,coeffs=104857600,cuda,time,6643.322945,us
stock,heongpu,poly_add,coeffs=1048576,seguru,time,8.656680,us
stock,heongpu,poly_add,coeffs=1048576,cuda,time,8.314881,us
stock,heongpu,poly_add,coeffs=1048576,seguru,throughput,2907.098795,GB/s
stock,heongpu,poly_mul,coeffs=1048576,seguru,time,11.634420,us
stock,heongpu,poly_mul,coeffs=1048576,cuda,time,9.584640,us
stock,heongpu,cipher_plain_mul,coeffs=1048576,seguru,time,11.000440,us
stock,heongpu,cipher_plain_mul,coeffs=1048576,cuda,time,8.970240,us
stock,heongpu,poly_add,coeffs=10485760,seguru,time,153.625400,us
stock,heongpu,poly_add,coeffs=10485760,cuda,time,151.224315,us
stock,heongpu,poly_add,coeffs=10485760,seguru,throughput,1638.129111,GB/s
stock,heongpu,poly_mul,coeffs=10485760,seguru,time,156.947980,us
stock,heongpu,poly_mul,coeffs=10485760,cuda,time,153.190404,us
stock,heongpu,cipher_plain_mul,coeffs=10485760,seguru,time,111.771060,us
stock,heongpu,cipher_plain_mul,coeffs=10485760,cuda,time,108.175367,us
stock,heongpu,poly_add,coeffs=104857600,seguru,time,1479.771460,us
stock,heongpu,poly_add,coeffs=104857600,cuda,time,1471.979499,us
stock,heongpu,poly_add,coeffs=104857600,seguru,throughput,1700.656127,GB/s
stock,heongpu,poly_mul,coeffs=104857600,seguru,time,1510.438040,us
stock,heongpu,poly_mul,coeffs=104857600,cuda,time,1474.601030,us
stock,heongpu,cipher_plain_mul,coeffs=104857600,seguru,time,1065.301280,us
stock,heongpu,cipher_plain_mul,coeffs=104857600,cuda,time,1030.737877,us
nobc,heongpu,ntt_forward,coeffs=1048576,seguru,time,98.895720,us
nobc,heongpu,ntt_forward,coeffs=1048576,cuda,time,97.300485,us
nobc,heongpu,ntt_forward,coeffs=1048576,seguru,throughput,10602.845098,Mcoeff/s
nobc,heongpu,ntt_forward,coeffs=1048576,cpu,time,1277.082000,us
nobc,heongpu,ntt_inverse,coeffs=1048576,seguru,time,91.359720,us
nobc,heongpu,ntt_inverse,coeffs=1048576,cuda,time,87.879680,us
nobc,heongpu,ntt_forward,coeffs=10485760,seguru,time,770.725900,us
nobc,heongpu,ntt_forward,coeffs=10485760,cuda,time,735.518694,us
nobc,heongpu,ntt_forward,coeffs=10485760,seguru,throughput,13605.044284,Mcoeff/s
nobc,heongpu,ntt_forward,coeffs=10485760,cpu,time,1290.728000,us
nobc,heongpu,ntt_inverse,coeffs=10485760,seguru,time,740.945400,us
nobc,heongpu,ntt_inverse,coeffs=10485760,cuda,time,694.906831,us
nobc,heongpu,ntt_forward,coeffs=104857600,seguru,time,7253.741980,us
nobc,heongpu,ntt_forward,coeffs=104857600,cuda,time,6893.281460,us
nobc,heongpu,ntt_forward,coeffs=104857600,seguru,throughput,14455.656169,Mcoeff/s
nobc,heongpu,ntt_forward,coeffs=104857600,cpu,time,1138.836000,us
nobc,heongpu,ntt_inverse,coeffs=104857600,seguru,time,7077.314440,us
nobc,heongpu,ntt_inverse,coeffs=104857600,cuda,time,6655.385971,us
nobc,heongpu,poly_add,coeffs=1048576,seguru,time,8.600780,us
nobc,heongpu,poly_add,coeffs=1048576,cuda,time,8.232960,us
nobc,heongpu,poly_add,coeffs=1048576,seguru,throughput,2925.993224,GB/s
nobc,heongpu,poly_mul,coeffs=1048576,seguru,time,9.913400,us
nobc,heongpu,poly_mul,coeffs=1048576,cuda,time,9.441280,us
nobc,heongpu,cipher_plain_mul,coeffs=1048576,seguru,time,9.101900,us
nobc,heongpu,cipher_plain_mul,coeffs=1048576,cuda,time,8.888320,us
nobc,heongpu,poly_add,coeffs=10485760,seguru,time,153.301780,us
nobc,heongpu,poly_add,coeffs=10485760,cuda,time,151.121914,us
nobc,heongpu,poly_add,coeffs=10485760,seguru,throughput,1641.587201,GB/s
nobc,heongpu,poly_mul,coeffs=10485760,seguru,time,156.571440,us
nobc,heongpu,poly_mul,coeffs=10485760,cuda,time,153.149441,us
nobc,heongpu,cipher_plain_mul,coeffs=10485760,seguru,time,110.827260,us
nobc,heongpu,cipher_plain_mul,coeffs=10485760,cuda,time,108.421117,us
nobc,heongpu,poly_add,coeffs=104857600,seguru,time,1478.345100,us
nobc,heongpu,poly_add,coeffs=104857600,cuda,time,1472.102404,us
nobc,heongpu,poly_add,coeffs=104857600,seguru,throughput,1702.296981,GB/s
nobc,heongpu,poly_mul,coeffs=104857600,seguru,time,1508.611900,us
nobc,heongpu,poly_mul,coeffs=104857600,cuda,time,1474.601030,us
nobc,heongpu,cipher_plain_mul,coeffs=104857600,seguru,time,1055.312080,us
nobc,heongpu,cipher_plain_mul,coeffs=104857600,cuda,time,1033.113599,us
stock,polybench,gemm,512^3,seguru,time,63.189432,us
stock,polybench,gemm,512^3,cuda,time,57.440866,us
stock,polybench,gemm,512^3,cpu,time,223479.586000,us
stock,polybench,gemm,1024^3,seguru,time,287.077400,us
stock,polybench,gemm,1024^3,cuda,time,277.401596,us
stock,polybench,gemm,2048^3,seguru,time,1774.079300,us
stock,polybench,gemm,2048^3,cuda,time,1754.726410,us
stock,polybench,gemm,4096^3,seguru,time,12989.929900,us
stock,polybench,gemm,4096^3,cuda,time,13063.372612,us
stock,polybench,twomm,512^3x2,seguru,time,129.884324,us
stock,polybench,twomm,512^3x2,cuda,time,116.763681,us
stock,polybench,twomm,512^3x2,cpu,time,435712.062000,us
stock,polybench,twomm,1024^3x2,seguru,time,592.747300,us
stock,polybench,twomm,1024^3x2,cuda,time,567.603230,us
stock,polybench,twomm,2048^3x2,seguru,time,3546.610700,us
stock,polybench,twomm,2048^3x2,cuda,time,3526.962996,us
stock,polybench,threemm,512^3x3,seguru,time,195.082875,us
stock,polybench,threemm,512^3x3,cuda,time,175.146654,us
stock,polybench,threemm,512^3x3,cpu,time,650912.912000,us
stock,polybench,threemm,1024^3x3,seguru,time,903.619000,us
stock,polybench,threemm,1024^3x3,cuda,time,870.092750,us
stock,polybench,threemm,2048^3x3,seguru,time,5318.711400,us
stock,polybench,threemm,2048^3x3,cuda,time,5285.478115,us
stock,polybench,syrk,512^3,seguru,time,71.325635,us
stock,polybench,syrk,512^3,cuda,time,66.850595,us
stock,polybench,syrk,512^3,cpu,time,126560.515000,us
stock,polybench,syrk,1024^3,seguru,time,351.351800,us
stock,polybench,syrk,1024^3,cuda,time,339.558423,us
stock,polybench,syrk,2048^3,seguru,time,2205.947800,us
stock,polybench,syrk,2048^3,cuda,time,2148.454428,us
stock,polybench,syrk,4096^3,seguru,time,16595.449100,us
stock,polybench,syrk,4096^3,cuda,time,16146.944046,us
stock,polybench,syr2k,512^3,seguru,time,133.072378,us
stock,polybench,syr2k,512^3,cuda,time,148.673728,us
stock,polybench,syr2k,512^3,cpu,time,121730.942000,us
stock,polybench,syr2k,1024^3,seguru,time,700.194900,us
stock,polybench,syr2k,1024^3,cuda,time,792.166412,us
stock,polybench,syr2k,2048^3,seguru,time,4568.998400,us
stock,polybench,syr2k,2048^3,cuda,time,5064.806461,us
stock,polybench,atax,2048^2,seguru,time,225.060322,us
stock,polybench,atax,2048^2,cuda,time,126.628935,us
stock,polybench,atax,2048^2,cpu,time,35571.964000,us
stock,polybench,atax,4096^2,seguru,time,495.619135,us
stock,polybench,atax,4096^2,cuda,time,638.464034,us
stock,polybench,atax,8192^2,seguru,time,1071.542667,us
stock,polybench,atax,8192^2,cuda,time,1360.383987,us
stock,polybench,bicg,2048^2,seguru,time,225.226235,us
stock,polybench,bicg,2048^2,cuda,time,118.804611,us
stock,polybench,bicg,2048^2,cpu,time,4152.446000,us
stock,polybench,bicg,4096^2,seguru,time,495.680459,us
stock,polybench,bicg,4096^2,cuda,time,637.993515,us
stock,polybench,bicg,8192^2,seguru,time,1072.600167,us
stock,polybench,bicg,8192^2,cuda,time,1360.270143,us
stock,polybench,gesummv,2048^2x2,seguru,time,15.541628,us
stock,polybench,gesummv,2048^2x2,cuda,time,19.655302,us
stock,polybench,gesummv,2048^2x2,cpu,time,4254.174000,us
stock,polybench,gesummv,4096^2x2,seguru,time,84.581486,us
stock,polybench,gesummv,4096^2x2,cuda,time,86.555675,us
stock,polybench,gesummv,8192^2x2,seguru,time,309.164444,us
stock,polybench,gesummv,8192^2x2,cuda,time,315.904021,us
stock,polybench,mvt,2048^2,seguru,time,227.012772,us
stock,polybench,mvt,2048^2,cuda,time,119.467802,us
stock,polybench,mvt,2048^2,cpu,time,27978.716000,us
stock,polybench,mvt,4096^2,seguru,time,500.087027,us
stock,polybench,mvt,4096^2,cuda,time,641.217709,us
stock,polybench,mvt,8192^2,seguru,time,1076.366056,us
stock,polybench,mvt,8192^2,cuda,time,1362.261295,us
stock,polybench,conv2d,2048^2,seguru,time,27.735393,us
stock,polybench,conv2d,2048^2,cuda,time,26.256323,us
stock,polybench,conv2d,2048^2,cpu,time,6032.920000,us
stock,polybench,conv2d,4096^2,seguru,time,100.131041,us
stock,polybench,conv2d,4096^2,cuda,time,96.380547,us
stock,polybench,conv2d,8192^2,seguru,time,387.981444,us
stock,polybench,conv2d,8192^2,cuda,time,375.352889,us
stock,polybench,conv3d,128^3,seguru,time,22.724960,us
stock,polybench,conv3d,128^3,cuda,time,21.435732,us
stock,polybench,conv3d,128^3,cpu,time,4585.399000,us
stock,polybench,conv3d,256^3,seguru,time,162.620635,us
stock,polybench,conv3d,256^3,cuda,time,154.900759,us
stock,polybench,conv3d,384^3,seguru,time,539.118455,us
stock,polybench,conv3d,384^3,cuda,time,514.327288,us
stock,polybench,jacobi1d,1048576xt20,seguru,time,262.866655,us
stock,polybench,jacobi1d,1048576xt20,cuda,time,242.546752,us
stock,polybench,jacobi1d,1048576xt20,cpu,time,10246.416000,us
stock,polybench,jacobi1d,4194304xt20,seguru,time,964.251400,us
stock,polybench,jacobi1d,4194304xt20,cuda,time,919.449627,us
stock,polybench,jacobi1d,16777216xt20,seguru,time,3784.499000,us
stock,polybench,jacobi1d,16777216xt20,cuda,time,3687.116623,us
stock,polybench,jacobi2d,1024^2xt10,seguru,time,153.093729,us
stock,polybench,jacobi2d,1024^2xt10,cuda,time,135.115936,us
stock,polybench,jacobi2d,1024^2xt10,cpu,time,7856.626000,us
stock,polybench,jacobi2d,2048^2xt10,seguru,time,559.014286,us
stock,polybench,jacobi2d,2048^2xt10,cuda,time,535.186291,us
stock,polybench,jacobi2d,4096^2xt10,seguru,time,2112.488700,us
stock,polybench,jacobi2d,4096^2xt10,cuda,time,2035.712004,us
stock,polybench,fdtd2d,1024^2xt10,seguru,time,273.671513,us
stock,polybench,fdtd2d,1024^2xt10,cuda,time,192.013130,us
stock,polybench,fdtd2d,1024^2xt10,cpu,time,12191.980000,us
stock,polybench,fdtd2d,2048^2xt10,seguru,time,1236.126500,us
stock,polybench,fdtd2d,2048^2xt10,cuda,time,1220.710397,us
stock,polybench,fdtd2d,4096^2xt10,seguru,time,4667.907300,us
stock,polybench,fdtd2d,4096^2xt10,cuda,time,4602.060795,us
stock,polybench,gemm,512^3,cublas,time,28.326053,us
stock,polybench,gemm,1024^3,cublas,time,129.740804,us
stock,polybench,gemm,2048^3,cublas,time,981.299222,us
stock,polybench,gemm,4096^3,cublas,time,7331.327915,us
nobc,polybench,gemm,512^3,seguru,time,79.216905,us
nobc,polybench,gemm,512^3,cuda,time,57.371676,us
nobc,polybench,gemm,512^3,cpu,time,201107.099000,us
nobc,polybench,gemm,1024^3,seguru,time,290.931500,us
nobc,polybench,gemm,1024^3,cuda,time,277.401596,us
nobc,polybench,gemm,2048^3,seguru,time,1785.832600,us
nobc,polybench,gemm,2048^3,cuda,time,1754.419088,us
nobc,polybench,gemm,4096^3,seguru,time,12946.292100,us
nobc,polybench,gemm,4096^3,cuda,time,13061.632156,us
nobc,polybench,twomm,512^3x2,seguru,time,165.164135,us
nobc,polybench,twomm,512^3x2,cuda,time,116.154812,us
nobc,polybench,twomm,512^3x2,cpu,time,413967.161000,us
nobc,polybench,twomm,1024^3x2,seguru,time,605.466900,us
nobc,polybench,twomm,1024^3x2,cuda,time,567.091167,us
nobc,polybench,twomm,2048^3x2,seguru,time,3567.332200,us
nobc,polybench,twomm,2048^3x2,cuda,time,3524.505615,us
nobc,polybench,threemm,512^3x3,seguru,time,243.851792,us
nobc,polybench,threemm,512^3x3,cuda,time,174.933329,us
nobc,polybench,threemm,512^3x3,cpu,time,617606.002000,us
nobc,polybench,threemm,1024^3x3,seguru,time,931.770000,us
nobc,polybench,threemm,1024^3x3,cuda,time,870.195210,us
nobc,polybench,threemm,2048^3x3,seguru,time,5350.715300,us
nobc,polybench,threemm,2048^3x3,cuda,time,5288.243294,us
nobc,polybench,syrk,512^3,seguru,time,71.179270,us
nobc,polybench,syrk,512^3,cuda,time,67.113519,us
nobc,polybench,syrk,512^3,cpu,time,122754.228000,us
nobc,polybench,syrk,1024^3,seguru,time,348.305000,us
nobc,polybench,syrk,1024^3,cuda,time,339.660823,us
nobc,polybench,syrk,2048^3,seguru,time,2187.507900,us
nobc,polybench,syrk,2048^3,cuda,time,2148.659229,us
nobc,polybench,syrk,4096^3,seguru,time,16389.945600,us
nobc,polybench,syrk,4096^3,cuda,time,16155.136108,us
nobc,polybench,syr2k,512^3,seguru,time,132.807541,us
nobc,polybench,syr2k,512^3,cuda,time,149.310261,us
nobc,polybench,syr2k,512^3,cpu,time,123106.802000,us
nobc,polybench,syr2k,1024^3,seguru,time,703.123300,us
nobc,polybench,syr2k,1024^3,cuda,time,791.961610,us
nobc,polybench,syr2k,2048^3,seguru,time,4538.688800,us
nobc,polybench,syr2k,2048^3,cuda,time,5084.262371,us
nobc,polybench,atax,2048^2,seguru,time,224.958151,us
nobc,polybench,atax,2048^2,cuda,time,126.326561,us
nobc,polybench,atax,2048^2,cpu,time,36133.828000,us
nobc,polybench,atax,4096^2,seguru,time,496.706270,us
nobc,polybench,atax,4096^2,cuda,time,637.951970,us
nobc,polybench,atax,8192^2,seguru,time,1072.106167,us
nobc,polybench,atax,8192^2,cuda,time,1359.928846,us
nobc,polybench,bicg,2048^2,seguru,time,224.876154,us
nobc,polybench,bicg,2048^2,cuda,time,118.814930,us
nobc,polybench,bicg,2048^2,cpu,time,3900.616000,us
nobc,polybench,bicg,4096^2,seguru,time,495.836824,us
nobc,polybench,bicg,4096^2,cuda,time,637.426198,us
nobc,polybench,bicg,8192^2,seguru,time,1070.299444,us
nobc,polybench,bicg,8192^2,cuda,time,1360.440850,us
nobc,polybench,gesummv,2048^2x2,seguru,time,16.597883,us
nobc,polybench,gesummv,2048^2x2,cuda,time,19.617504,us
nobc,polybench,gesummv,2048^2x2,cpu,time,4197.808000,us
nobc,polybench,gesummv,4096^2x2,seguru,time,86.331743,us
nobc,polybench,gesummv,4096^2x2,cuda,time,86.624868,us
nobc,polybench,gesummv,8192^2x2,seguru,time,316.680000,us
nobc,polybench,gesummv,8192^2x2,cuda,time,316.245347,us
nobc,polybench,mvt,2048^2,seguru,time,226.281416,us
nobc,polybench,mvt,2048^2,cuda,time,119.285688,us
nobc,polybench,mvt,2048^2,cpu,time,25045.478000,us
nobc,polybench,mvt,4096^2,seguru,time,498.126338,us
nobc,polybench,mvt,4096^2,cuda,time,641.176224,us
nobc,polybench,mvt,8192^2,seguru,time,1074.516722,us
nobc,polybench,mvt,8192^2,cuda,time,1361.123562,us
nobc,polybench,conv2d,2048^2,seguru,time,27.527279,us
nobc,polybench,conv2d,2048^2,cuda,time,26.129182,us
nobc,polybench,conv2d,2048^2,cpu,time,5833.317000,us
nobc,polybench,conv2d,4096^2,seguru,time,99.904392,us
nobc,polybench,conv2d,4096^2,cuda,time,96.089944,us
nobc,polybench,conv2d,8192^2,seguru,time,386.923833,us
nobc,polybench,conv2d,8192^2,cuda,time,376.149327,us
nobc,polybench,conv3d,128^3,seguru,time,21.099663,us
nobc,polybench,conv3d,128^3,cuda,time,21.374295,us
nobc,polybench,conv3d,128^3,cpu,time,4403.911000,us
nobc,polybench,conv3d,256^3,seguru,time,153.604149,us
nobc,polybench,conv3d,256^3,cuda,time,155.841723,us
nobc,polybench,conv3d,384^3,seguru,time,507.883955,us
nobc,polybench,conv3d,384^3,cuda,time,514.187634,us
nobc,polybench,jacobi1d,1048576xt20,seguru,time,251.691379,us
nobc,polybench,jacobi1d,1048576xt20,cuda,time,238.945112,us
nobc,polybench,jacobi1d,1048576xt20,cpu,time,9135.322000,us
nobc,polybench,jacobi1d,4194304xt20,seguru,time,941.241500,us
nobc,polybench,jacobi1d,4194304xt20,cuda,time,905.727983,us
nobc,polybench,jacobi1d,16777216xt20,seguru,time,3732.702500,us
nobc,polybench,jacobi1d,16777216xt20,cuda,time,3684.147358,us
nobc,polybench,jacobi2d,1024^2xt10,seguru,time,142.813271,us
nobc,polybench,jacobi2d,1024^2xt10,cuda,time,134.786174,us
nobc,polybench,jacobi2d,1024^2xt10,cpu,time,6871.566000,us
nobc,polybench,jacobi2d,2048^2xt10,seguru,time,545.697357,us
nobc,polybench,jacobi2d,2048^2xt10,cuda,time,529.042304,us
nobc,polybench,jacobi2d,4096^2xt10,seguru,time,2082.559800,us
nobc,polybench,jacobi2d,4096^2xt10,cuda,time,2034.483194,us
nobc,polybench,fdtd2d,1024^2xt10,seguru,time,215.622359,us
nobc,polybench,fdtd2d,1024^2xt10,cuda,time,189.965129,us
nobc,polybench,fdtd2d,1024^2xt10,cpu,time,12176.711000,us
nobc,polybench,fdtd2d,2048^2xt10,seguru,time,1228.729600,us
nobc,polybench,fdtd2d,2048^2xt10,cuda,time,1221.734405,us
nobc,polybench,fdtd2d,4096^2xt10,seguru,time,4644.157700,us
nobc,polybench,fdtd2d,4096^2xt10,cuda,time,4599.296093,us
nobc,polybench,gemm,512^3,cublas,time,28.256863,us
nobc,polybench,gemm,1024^3,cublas,time,129.843205,us
nobc,polybench,gemm,2048^3,cublas,time,980.992019,us
nobc,polybench,gemm,4096^3,cublas,time,7326.924801,us
stock,kernelbench,relu,2048x2048,seguru,time,20.990845,us
stock,kernelbench,relu,2048x2048,seguru,throughput,1598.526977,GB/s
stock,kernelbench,gelu,2048x2048,seguru,time,21.978030,us
stock,kernelbench,gelu,2048x2048,seguru,throughput,1526.726099,GB/s
stock,kernelbench,sigmoid,2048x2048,seguru,time,21.462425,us
stock,kernelbench,sigmoid,2048x2048,seguru,throughput,1563.403576,GB/s
stock,kernelbench,tanh,2048x2048,seguru,time,21.494330,us
stock,kernelbench,tanh,2048x2048,seguru,throughput,1561.082946,GB/s
stock,kernelbench,swish,2048x2048,seguru,time,21.523385,us
stock,kernelbench,swish,2048x2048,seguru,throughput,1558.975598,GB/s
stock,kernelbench,softplus,2048x2048,seguru,time,21.372755,us
stock,kernelbench,softplus,2048x2048,seguru,throughput,1569.962880,GB/s
stock,kernelbench,leaky_relu,2048x2048,seguru,time,21.229290,us
stock,kernelbench,leaky_relu,2048x2048,seguru,throughput,1580.572501,GB/s
stock,kernelbench,softmax,2048x2048,seguru,time,22.928995,us
stock,kernelbench,softmax,2048x2048,seguru,throughput,1463.406137,GB/s
stock,kernelbench,log_softmax,2048x2048,seguru,time,22.399565,us
stock,kernelbench,log_softmax,2048x2048,seguru,throughput,1497.994805,GB/s
stock,kernelbench,cumsum,2048x2048,seguru,time,22.031425,us
stock,kernelbench,cumsum,2048x2048,seguru,throughput,1523.025950,GB/s
stock,kernelbench,rms_norm,2048x2048,seguru,time,19.979615,us
stock,kernelbench,rms_norm,2048x2048,seguru,throughput,1679.433362,GB/s
stock,kernelbench,l1_norm,2048x2048,seguru,time,19.910285,us
stock,kernelbench,l1_norm,2048x2048,seguru,throughput,1685.281351,GB/s
stock,kernelbench,l2_norm,2048x2048,seguru,time,20.002360,us
stock,kernelbench,l2_norm,2048x2048,seguru,throughput,1677.523652,GB/s
stock,kernelbench,layer_norm,2048x2048,seguru,time,23.223945,us
stock,kernelbench,layer_norm,2048x2048,seguru,throughput,1444.820507,GB/s
stock,kernelbench,sum_dim,2048x2048,seguru,time,7.400350,us
stock,kernelbench,sum_dim,2048x2048,seguru,throughput,2268.191099,GB/s
stock,kernelbench,mean_dim,2048x2048,seguru,time,7.380560,us
stock,kernelbench,mean_dim,2048x2048,seguru,throughput,2274.272955,GB/s
stock,kernelbench,max_dim,2048x2048,seguru,time,7.435515,us
stock,kernelbench,max_dim,2048x2048,seguru,throughput,2257.464076,GB/s
stock,kernelbench,argmax_dim,2048x2048,seguru,time,11.299140,us
stock,kernelbench,argmax_dim,2048x2048,seguru,throughput,1485.547396,GB/s
stock,kernelbench,mse_loss,2048x2048,seguru,time,18.775980,us
stock,kernelbench,mse_loss,2048x2048,seguru,throughput,1787.093510,GB/s
stock,kernelbench,max_pool1d,2048x2048/k=4/s=4,seguru,time,8.444985,us
stock,kernelbench,max_pool1d,2048x2048/k=4/s=4,seguru,throughput,2483.310509,GB/s
stock,kernelbench,relu,8192x8192,seguru,time,330.446430,us
stock,kernelbench,relu,8192x8192,seguru,throughput,1624.683650,GB/s
stock,kernelbench,gelu,8192x8192,seguru,time,330.793280,us
stock,kernelbench,gelu,8192x8192,seguru,throughput,1622.980104,GB/s
stock,kernelbench,sigmoid,8192x8192,seguru,time,330.324005,us
stock,kernelbench,sigmoid,8192x8192,seguru,throughput,1625.285792,GB/s
stock,kernelbench,tanh,8192x8192,seguru,time,330.588095,us
stock,kernelbench,tanh,8192x8192,seguru,throughput,1623.987434,GB/s
stock,kernelbench,swish,8192x8192,seguru,time,330.735265,us
stock,kernelbench,swish,8192x8192,seguru,throughput,1623.264795,GB/s
stock,kernelbench,softplus,8192x8192,seguru,time,330.785910,us
stock,kernelbench,softplus,8192x8192,seguru,throughput,1623.016265,GB/s
stock,kernelbench,leaky_relu,8192x8192,seguru,time,330.440720,us
stock,kernelbench,leaky_relu,8192x8192,seguru,throughput,1624.711724,GB/s
stock,kernelbench,softmax,8192x8192,seguru,time,483.974040,us
stock,kernelbench,softmax,8192x8192,seguru,throughput,1109.296920,GB/s
stock,kernelbench,log_softmax,8192x8192,seguru,time,481.937810,us
stock,kernelbench,log_softmax,8192x8192,seguru,throughput,1113.983798,GB/s
stock,kernelbench,cumsum,8192x8192,seguru,time,333.848645,us
stock,kernelbench,cumsum,8192x8192,seguru,throughput,1608.126677,GB/s
stock,kernelbench,rms_norm,8192x8192,seguru,time,448.475745,us
stock,kernelbench,rms_norm,8192x8192,seguru,throughput,1197.101333,GB/s
stock,kernelbench,l1_norm,8192x8192,seguru,time,448.632540,us
stock,kernelbench,l1_norm,8192x8192,seguru,throughput,1196.682951,GB/s
stock,kernelbench,l2_norm,8192x8192,seguru,time,448.885260,us
stock,kernelbench,l2_norm,8192x8192,seguru,throughput,1196.009225,GB/s
stock,kernelbench,layer_norm,8192x8192,seguru,time,569.295500,us
stock,kernelbench,layer_norm,8192x8192,seguru,throughput,943.044363,GB/s
stock,kernelbench,sum_dim,8192x8192,seguru,time,154.232275,us
stock,kernelbench,sum_dim,8192x8192,seguru,throughput,1740.674732,GB/s
stock,kernelbench,mean_dim,8192x8192,seguru,time,154.347535,us
stock,kernelbench,mean_dim,8192x8192,seguru,throughput,1739.374872,GB/s
stock,kernelbench,max_dim,8192x8192,seguru,time,154.403740,us
stock,kernelbench,max_dim,8192x8192,seguru,throughput,1738.741717,GB/s
stock,kernelbench,argmax_dim,8192x8192,seguru,time,213.166105,us
stock,kernelbench,argmax_dim,8192x8192,seguru,throughput,1259.432047,GB/s
